기록시각,탭,순위,제목,titleId,작가
2026-07-24 13:23,남성,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 13:23,남성,3,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 13:23,남성,4,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 13:23,남성,5,부활소년,848075,류
2026-07-24 16:38,전체,1,외모지상주의,641253,박태준
2026-07-24 16:38,전체,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 16:38,전체,3,부활소년,848075,류
2026-07-24 16:38,전체,4,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 16:38,전체,5,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 16:38,여성,1,연상녀클럽,851476,한성만
2026-07-24 16:38,여성,2,여우놀이,768469,황혜진
2026-07-24 16:38,여성,3,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 16:38,여성,4,소꿉친구 컴플렉스,822640,은하이
2026-07-24 16:38,여성,5,외모지상주의,641253,박태준
2026-07-24 16:38,남성,1,외모지상주의,641253,박태준
2026-07-24 16:38,남성,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 16:38,남성,3,부활소년,848075,류
2026-07-24 16:38,남성,4,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 16:38,남성,5,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 19:26,전체,1,외모지상주의,641253,박태준
2026-07-24 19:26,전체,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 19:26,전체,3,부활소년,848075,류
2026-07-24 19:26,전체,4,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 19:26,전체,5,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 19:26,여성,1,연상녀클럽,851476,한성만
2026-07-24 19:26,여성,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 19:26,여성,3,여우놀이,768469,황혜진
2026-07-24 19:26,여성,4,세레나,801475,정이나
2026-07-24 19:26,여성,5,소꿉친구 컴플렉스,822640,은하이
2026-07-24 19:26,남성,1,외모지상주의,641253,박태준
2026-07-24 19:26,남성,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 19:26,남성,3,부활소년,848075,류
2026-07-24 19:26,남성,4,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 19:26,남성,5,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-24 21:24,전체,1,외모지상주의,641253,박태준
2026-07-24 21:24,전체,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 21:24,전체,3,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 21:24,전체,4,부활소년,848075,류
2026-07-24 21:24,전체,5,화산귀환,769209,"ARCHE, LICO / 비가"
2026-07-24 21:24,여성,1,연상녀클럽,851476,한성만
2026-07-24 21:24,여성,2,세레나,801475,정이나
2026-07-24 21:24,여성,3,소꿉친구 컴플렉스,822640,은하이
2026-07-24 21:24,여성,4,네가 사는 그 집,842465,석우 / 해바다
2026-07-24 21:24,여성,5,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 21:24,남성,1,외모지상주의,641253,박태준
2026-07-24 21:24,남성,2,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-24 21:24,남성,3,광마회귀,776601,JP / 이히 / 유진성
2026-07-24 21:24,남성,4,부활소년,848075,류
2026-07-24 21:24,남성,5,나 혼자 만렙 뉴비,773797,WAN.Z / 스윙뱃 / 메슬로우
2026-07-25 00:02,전체,1,세레나,801475,정이나
2026-07-25 00:02,전체,2,킬러 배드로,816798,김정현 / 임리나
2026-07-25 00:02,전체,3,오늘만 사는 기사,824543,가나라 / 이안 / 소울풍
2026-07-25 00:02,전체,4,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-25 00:02,전체,5,외모지상주의,641253,박태준
2026-07-25 00:02,여성,1,세레나,801475,정이나
2026-07-25 00:02,여성,2,미스 펜들턴,835526,꼬막 / 유혜민
2026-07-25 00:02,여성,3,나를 바꿔줘,733280,이지호 / 호띠
2026-07-25 00:02,여성,4,우리 길드 아이돌,835557,꼬보
2026-07-25 00:02,여성,5,만취남녀,846883,금
2026-07-25 00:02,남성,1,킬러 배드로,816798,김정현 / 임리나
2026-07-25 00:02,남성,2,오늘만 사는 기사,824543,가나라 / 이안 / 소울풍
2026-07-25 00:02,남성,3,마도전생기,807777,포스스튜디오 / codezero
2026-07-25 00:02,남성,4,절대군림,832677,박시대 / 장영훈
2026-07-25 00:02,남성,5,초인의 시대,730694,섭이
2026-07-25 01:51,전체,1,외모지상주의,641253,박태준
2026-07-25 01:51,전체,2,세레나,801475,정이나
2026-07-25 01:51,전체,3,김부장,783053,"박만사, 남자의 이야기 / 정종택"
2026-07-25 01:51,전체,4,킬러 배드로,816798,김정현 / 임리나
2026-07-25 01:51,전체,5,오늘만 사는 기사,824543,가나라 / 이안 / 소울풍
2026-07-25 01:51,여성,1,세레나,801475,정이나
2026-07-25 01:51,여성,2,소꿉친구 컴플렉스,822640,은하이
2026-07-25 01:51,여성,3,외모지상주의,641253,박태준
2026-07-25 01:51,여성,4,그리디,845919,영하 / 랑라리
2026-07-25 01:51,여성,5,나를 바꿔줘,733280,이지호 / 호띠
2026-07-25 01:51,남성,1,킬러 배드로,816798,김정현 / 임리나
2026-07-25 01:51,남성,2,외모지상주의,641253,박태준
2026-07-25 01:51,남성,3,오늘만 사는 기사,824543,가나라 / 이안 / 소울풍
